@RELATION walk
 @ATTRIBUTE	stepValleyCount REAL
 @ATTRIBUTE	averageX REAL
 @ATTRIBUTE	stddevX REAL
 @ATTRIBUTE	averageZ REAL
 @ATTRIBUTE	stddevZ REAL
 @ATTRIBUTE	mountValleyY REAL
 @ATTRIBUTE	averageLpfDeltaY REAL
 @ATTRIBUTE	slopeZ REAL
 @ATTRIBUTE	averageLpfAbsX REAL
 @ATTRIBUTE	stddevRadianXY REAL
 @ATTRIBUTE	stddevRadianXZ REAL
 @ATTRIBUTE	stddevRadianLpfXY REAL
 @ATTRIBUTE	stddevRadianLpfXZ REAL
 @ATTRIBUTE	averageXStepAve REAL
 @ATTRIBUTE	averageZStepAve REAL
 @ATTRIBUTE	stddevXStepAve REAL
 @ATTRIBUTE	stddevZStepAve REAL
 @ATTRIBUTE	averageDeltaYStepAve REAL
 @ATTRIBUTE	mountValleyYStepAve REAL
 @ATTRIBUTE	averageLpfDeltaYStepAve REAL
 @ATTRIBUTE	mountValleyLpfYStepAve REAL
 @ATTRIBUTE	averageLpfAbsXStepAve REAL
 @ATTRIBUTE	slopeZStepAve REAL
 @ATTRIBUTE	averageRadianXYStepAve REAL
 @ATTRIBUTE	averageRadianXZStepAve REAL
 @ATTRIBUTE	stddevRadianXYStepAve REAL
 @ATTRIBUTE	stddevRadianXZStepAve REAL
 @ATTRIBUTE	averageRadianLpfXYStepAve REAL
 @ATTRIBUTE	averageRadianLpfXZStepAve REAL
 @ATTRIBUTE	stddevRadianLpfXYStepAve REAL
 @ATTRIBUTE	stddevRadianLpfXZStepAve REAL
 @ATTRIBUTE	averageXStepDev REAL
 @ATTRIBUTE	averageZStepDev REAL
 @ATTRIBUTE	stddevXStepDev REAL
 @ATTRIBUTE	stddevZStepDev REAL
 @ATTRIBUTE	averageDeltaYStepDev REAL
 @ATTRIBUTE	mountValleyYStepDev REAL
 @ATTRIBUTE	averageLpfDeltaYStepDev REAL
 @ATTRIBUTE	mountValleyLpfYStepDev REAL
 @ATTRIBUTE	averageLpfAbsXStepDev REAL
 @ATTRIBUTE	slopeZStepDev REAL
 @ATTRIBUTE	averageRadianXYStepDev REAL
 @ATTRIBUTE	averageRadianXZStepDev REAL
 @ATTRIBUTE	stddevRadianXYStepDev REAL
 @ATTRIBUTE	stddevRadianXZStepDev REAL
 @ATTRIBUTE	averageRadianLpfXYStepDev REAL
 @ATTRIBUTE	averageRadianLpfXZStepDev REAL
 @ATTRIBUTE	stddevRadianLpfXYStepDev REAL
 @ATTRIBUTE	stddevRadianLpfXZStepDev REAL
@ATTRIBUTE	class{gani,suri,sayu,neko,uchi,noke,futs}
@DATA
10,-0.016094,0.141669,-0.267409,0.174056,0.069797,0.00017,-0.000074,0.068045,0.136688,0.495217,0.080005,0.352998,-0.009761,-0.273924,0.150995,0.187685,0.000942,0.095804,0.00002,0.057467,0.071682,0.004372,1.579747,1.611799,0.143798,0.523444,1.601214,1.632696,0.080818,0.32739,0.047471,14.113674,0.030412,0.018822,0.000752,0.01077,0.000752,0.036691,0.02786,0.000999,0.048662,0.235635,0.0312,0.119893,0.045859,0.220047,0.021753,0.117598,sayu
11,-0.007699,0.131791,-0.277186,0.167386,0.061758,0.000201,-0.000072,0.067665,0.127828,0.42946,0.082684,0.300667,-0.008695,-0.283707,0.141076,0.176492,0.001867,0.089024,0.000007,0.049838,0.071959,0.004133,1.578387,1.599502,0.135187,0.456871,1.599694,1.618198,0.084021,0.284198,0.049727,2455.936182,0.027589,0.0306,0.000978,0.012777,0.000978,0.037679,0.019432,0.000972,0.04937,0.164661,0.025392,0.046795,0.047141,0.158776,0.019253,0.074091,sayu
10,0.009141,0.120438,-0.345823,0.200332,0.034146,-0.000103,0.000029,0.053912,0.122634,0.298872,0.06316,0.159012,0.011169,-0.400038,0.136966,0.199051,-0.000141,0.092898,-0.000146,0.017625,0.051202,0.003691,1.557547,1.549638,0.139442,0.328397,1.58086,1.571413,0.05806,0.124022,0.049678,36649.03969,0.028211,0.042417,0.000217,0.018191,0.000217,0.047685,0.018537,0.002573,0.057417,0.138533,0.03207,0.051852,0.054035,0.134614,0.007953,0.028112,neko
10,-0.000447,0.129881,-0.328755,0.20193,0.035276,-0.000123,-0.000045,0.046866,0.127066,0.380741,0.055701,0.15956,0.014452,-0.370339,0.149412,0.202044,-0.000286,0.083587,-0.000137,0.016672,0.048731,0.004354,1.554804,1.545364,0.143278,0.391536,1.580455,1.569721,0.056741,0.136323,0.045976,14863.35275,0.035342,0.042091,0.000817,0.014071,0.000817,0.04194,0.012333,0.001291,0.049911,0.14337,0.03546,0.090892,0.042006,0.138191,0.004915,0.017608,neko
11,0.014074,0.143703,-0.29688,0.184251,0.035912,0.000262,-0.000095,0.057058,0.133234,0.460037,0.064903,0.209766,0.017385,-0.30441,0.15511,0.197283,-0.000545,0.100878,0.000052,0.016123,0.053442,0.004988,1.551504,1.507091,0.143367,0.511065,1.577503,1.534495,0.063348,0.172273,0.034089,5020.237496,0.031695,0.028337,0.000552,0.019764,0.000552,0.046861,0.016885,0.001612,0.03748,0.132495,0.027946,0.085177,0.036647,0.147471,0.009721,0.063377,neko
10,0.009041,0.155159,-0.343491,0.199668,0.035294,0.000278,0.000047,0.04797,0.146618,0.434291,0.058014,0.158455,0.021866,-0.357236,0.178658,0.226632,-0.000142,0.095396,0.000023,0.016427,0.053013,0.004219,1.548613,1.533617,0.169151,0.493405,1.574698,1.560665,0.063036,0.153857,0.045651,8215.174509,0.049301,0.062403,0.00074,0.007237,0.00074,0.030078,0.015131,0.001493,0.049237,0.096535,0.046098,0.141617,0.039116,0.096468,0.007276,0.020485,neko
12,-0.001284,0.096465,-0.105321,0.124612,0.061194,0.000048,-0.000076,0.059457,0.090086,0.735854,0.073897,0.597049,0.00345,-0.12236,0.110362,0.126022,-0.000175,0.082956,-0.000011,0.048919,0.060941,0.002618,1.567899,1.630188,0.102472,0.795845,1.584211,1.648733,0.079783,0.534061,0.032533,0.359558,0.011453,0.013516,0.000364,0.016767,0.000364,0.040948,0.006545,0.00051,0.033988,0.351877,0.010665,0.077426,0.031396,0.337726,0.006115,0.088618,gani
10,0.001151,0.094479,-0.118548,0.117441,0.062441,-0.000028,-0.000109,0.064202,0.09062,0.748105,0.07642,0.592341,0.009288,-0.118949,0.102803,0.123774,-0.00026,0.085754,0.000051,0.051627,0.062232,0.002605,1.56155,1.546696,0.096765,0.790495,1.577472,1.562689,0.075282,0.52405,0.03851,0.207727,0.013304,0.012998,0.000247,0.015385,0.000247,0.043853,0.008518,0.000532,0.03977,0.342617,0.011452,0.101457,0.037673,0.336278,0.003099,0.11815,gani
10,-0.002625,0.106233,-0.136289,0.117664,0.056641,-0.000031,-0.000049,0.074531,0.100604,0.746158,0.085752,0.64542,0.007428,-0.139915,0.11738,0.123288,0.000114,0.083436,0.000116,0.046686,0.078098,0.003015,1.563301,1.606522,0.111127,0.797166,1.579524,1.61946,0.080188,0.528359,0.054568,0.314434,0.023074,0.012982,0.000261,0.010245,0.000261,0.035785,0.011273,0.000496,0.056564,0.465479,0.019741,0.106413,0.053111,0.448379,0.007414,0.058477,gani
10,0.000689,0.104911,-0.122098,0.115791,0.059203,0.000032,-0.000067,0.075237,0.098563,0.793889,0.084327,0.678751,0.007271,-0.120098,0.111295,0.118151,-0.000012,0.087602,0.000055,0.049703,0.073302,0.002847,1.564084,1.578257,0.103322,0.811208,1.581363,1.59559,0.077731,0.552037,0.049919,0.223226,0.016316,0.013394,0.000256,0.013627,0.000256,0.041273,0.015346,0.000505,0.051628,0.468207,0.015319,0.060872,0.049547,0.4566,0.007728,0.082699,gani
10,-0.002375,0.092935,-0.108422,0.11519,0.061972,0.000058,-0.000013,0.063925,0.089897,0.782208,0.076765,0.656469,0.000756,-0.107919,0.099774,0.123025,0.00001,0.088079,-0.000018,0.054526,0.064848,0.002624,1.569939,1.624574,0.09592,0.824048,1.584686,1.641181,0.075345,0.579834,0.04484,0.18404,0.015444,0.010993,0.000377,0.014673,0.000377,0.042827,0.010696,0.00051,0.045542,0.431785,0.013071,0.025403,0.043881,0.422471,0.011346,0.058641,gani
10,-0.002245,0.098686,-0.116914,0.11414,0.058879,0.00004,-0.000038,0.070511,0.095627,0.795671,0.081611,0.67696,0.002922,-0.121004,0.105684,0.121029,-0.000092,0.086502,0,0.050269,0.07033,0.002761,1.568356,1.612478,0.101858,0.822573,1.583946,1.628379,0.073572,0.539899,0.050793,0.227563,0.014435,0.011529,0.000277,0.008334,0.000277,0.032276,0.011031,0.000433,0.052095,0.473358,0.013459,0.058251,0.050786,0.46669,0.009478,0.090393,gani
10,0.006288,0.097446,-0.114438,0.118521,0.057937,-0.000034,-0.000007,0.071501,0.096104,0.800589,0.082438,0.668955,0.005207,-0.129196,0.09806,0.121618,-0.000031,0.078806,0.000121,0.052247,0.071272,0.002559,1.565604,1.553188,0.096941,0.787747,1.580532,1.568453,0.069224,0.525159,0.051436,0.278645,0.00679,0.009074,0.000433,0.009861,0.000433,0.035109,0.009526,0.000213,0.053929,0.491654,0.00614,0.063705,0.055146,0.500005,0.003854,0.061791,gani
9,0.009776,0.105323,-0.103513,0.129641,0.056058,0.000085,-0.000043,0.077609,0.104675,0.828194,0.088318,0.693591,0.016328,-0.105472,0.110655,0.136298,-0.000133,0.093884,-0.00003,0.0474,0.080899,0.00221,1.554497,1.509379,0.109989,0.874095,1.567336,1.517399,0.074944,0.578238,0.063007,0.161259,0.018716,0.009384,0.000467,0.014108,0.000467,0.044893,0.021577,0.0009,0.06451,0.517969,0.016379,0.043766,0.063733,0.522159,0.008489,0.058642,gani
